created_at,team,priority,channel,product_area,resolution_hours,csat_score,reopened_flag
2025-01-01,Platform,Low,Email,Billing,1.79,4.57,yes
2025-01-02,Payments,Medium,Chat,Checkout,8.06,3.78,no
2025-01-03,Support,High,Phone,Accounts,11.25,3.55,no
2025-01-04,Infrastructure,Urgent,Portal,Reporting,15.42,2.95,yes
2025-01-05,Platform,Low,Email,Billing,10.45,3.91,no
2025-01-06,Payments,Medium,Chat,Checkout,15.78,2.76,no
2025-01-07,Support,High,Phone,Accounts,8.63,3.4,no
2025-01-08,Infrastructure,Urgent,Portal,Reporting,14.92,3.39,yes
2025-01-09,Platform,Low,Email,Billing,6.37,4.04,no
2025-01-10,Payments,Medium,Chat,Checkout,11.28,3.11,no
2025-01-11,Support,High,Phone,Accounts,16.61,2.92,no
2025-01-12,Infrastructure,Urgent,Portal,Reporting,21.42,2.44,no
2025-01-13,Platform,Low,Email,Billing,1.75,4.22,no
2025-01-14,Payments,Medium,Chat,Checkout,5.57,4.38,no
2025-01-15,Support,High,Phone,Accounts,13.55,3.49,yes
2025-01-16,Infrastructure,Urgent,Portal,Reporting,16.15,2.54,yes
2025-01-17,Platform,Low,Email,Billing,12.04,3.75,no
2025-01-18,Payments,Medium,Chat,Checkout,12.82,3.26,no
2025-01-19,Support,High,Phone,Accounts,7.01,4.08,no
2025-01-20,Infrastructure,Urgent,Portal,Reporting,14.37,2.78,no
2025-01-21,Platform,Low,Email,Billing,7.03,3.89,no
2025-01-22,Payments,Medium,Chat,Checkout,9.99,3.89,yes
2025-01-23,Support,High,Phone,Accounts,15.34,2.76,no
2025-01-24,Infrastructure,Urgent,Portal,Reporting,20.52,2.7,no
2025-01-25,Platform,Low,Email,Billing,2.5,4.13,no
2025-01-26,Payments,Medium,Chat,Checkout,9.23,3.76,no
2025-01-27,Support,High,Phone,Accounts,11.89,3.38,no
2025-01-28,Infrastructure,Urgent,Portal,Reporting,15.45,2.76,yes
2025-01-29,Platform,Low,Email,Billing,10.02,3.63,yes
2025-01-30,Payments,Medium,Chat,Checkout,13.36,2.96,no
2025-01-31,Support,High,Phone,Accounts,7.02,3.97,no
2025-02-01,Infrastructure,Urgent,Portal,Reporting,12.36,3.68,no
2025-02-02,Platform,Low,Email,Billing,8.47,3.32,no
2025-02-03,Payments,Medium,Chat,Checkout,9.89,3.71,no
2025-02-04,Support,High,Phone,Accounts,14.55,2.76,no
2025-02-05,Infrastructure,Urgent,Portal,Reporting,22.01,2.41,yes
2025-02-06,Platform,Low,Email,Billing,3.52,4.45,no
2025-02-07,Payments,Medium,Chat,Checkout,8.53,3.42,no
2025-02-08,Support,High,Phone,Accounts,10.61,3.43,no
2025-02-09,Infrastructure,Urgent,Portal,Reporting,16.59,2.86,yes
2025-02-10,Platform,Low,Email,Billing,11.48,3.56,no
2025-02-11,Payments,Medium,Chat,Checkout,16.19,2.57,no
2025-02-12,Support,High,Phone,Accounts,8.26,3.58,yes
2025-02-13,Infrastructure,Urgent,Portal,Reporting,14.73,2.85,no
2025-02-14,Platform,Low,Email,Billing,5.96,3.91,no
2025-02-15,Payments,Medium,Chat,Checkout,10.58,3.29,no
2025-02-16,Support,High,Phone,Accounts,14.69,3.46,no
2025-02-17,Infrastructure,Urgent,Portal,Reporting,20.16,2.86,no
2025-02-18,Platform,Low,Email,Billing,3.81,3.76,no
2025-02-19,Payments,Medium,Chat,Checkout,9.25,3.93,yes
2025-02-20,Support,High,Phone,Accounts,13.88,3.55,no
2025-02-21,Infrastructure,Urgent,Portal,Reporting,18.18,2.43,yes
2025-02-22,Platform,Low,Email,Billing,10.57,3.24,no
2025-02-23,Payments,Medium,Chat,Checkout,14.0,2.75,no
2025-02-24,Support,High,Phone,Accounts,8.17,4.17,no
2025-02-25,Infrastructure,Urgent,Portal,Reporting,12.49,3.56,no
2025-02-26,Platform,Low,Email,Billing,6.96,3.78,yes
2025-02-27,Payments,Medium,Chat,Checkout,12.59,3.74,no
2025-02-28,Support,High,Phone,Accounts,15.83,3.16,no
2025-03-01,Infrastructure,Urgent,Portal,Reporting,19.08,2.46,no
2025-03-02,Platform,Low,Email,Billing,5.38,4.08,no
2025-03-03,Payments,Medium,Chat,Checkout,7.53,4.02,no
2025-03-04,Support,High,Phone,Accounts,10.46,3.58,no
2025-03-05,Infrastructure,Urgent,Portal,Reporting,16.89,3.18,yes
2025-03-06,Platform,Low,Email,Billing,9.34,4.03,no
2025-03-07,Payments,Medium,Chat,Checkout,12.8,2.99,no
2025-03-08,Support,High,Phone,Accounts,8.98,3.81,no
2025-03-09,Infrastructure,Urgent,Portal,Reporting,12.38,2.97,no
2025-03-10,Platform,Low,Email,Billing,8.59,3.46,no
2025-03-11,Payments,Medium,Chat,Checkout,11.23,3.53,no
2025-03-12,Support,High,Phone,Accounts,15.32,3.09,yes
